District,Latitude,Longitude
Achham,29.111375,81.29882778
Arghakhanchi,28.00083333,83.24666667
Baglung,28.26666667,83.6
Baitadi,29.5179,80.467
Bajhang,29.55,81.2
Bajura,29.44694444,81.48666667
Banke,28.05,81.61666667
Bara,27.03333333,85
Bardiya,28.81666667,80.48333333
Bhaktapur,27.672222,85.427778
Bhojpur,27.1725,87.04805556
Chitwan,27.58333333,84.5
Dadeldhura,29.3,80.58333333
Dailekh,28.8375,81.70777778
DangDeukhuri,28,82.26666667
Darchula,29.848464,80.543391
Dhading,27.86666667,84.91666667
Dhankuta,26.98138889,87.34333333
Dhanusa,26.728598,85.92525
Dolakha,27.66666667,86.03333333
Dolpa,28.93333333,82.9
Doti,29.26666667,80.93333333
Gorkha,28.289976,84.68975
Gulmi,28.06666667,83.25
Humla,29.96666667,81.83333333
Ilam,26.9,87.93333333
Jajarkot,28.7,82.2333
Jhapa,27.917373,84.193726
Jumla,29.27527778,82.18333333
Kailali,28.68333333,80.86666667
Kalikot,29.15,81.61666667
Kanchanpur,28.83333333,80.33333333
Kapilvastu,27.53333333,83.05
Kaski,28.33333333,84
Kathmandu,27.7,85.3
Kavrepalanchok,27.61666667,85.55
Khotang,27.2,86.78333333
Lalitpur,27.66666667,85.31666667
Lamjung,28.23333333,82.41666667
Mahottari,26.63333333,85.8
Makwanpur,27.41666667,85.03333333
Manang,28.55194444,84.24083333
Morang,26.66666667,87.5
Mugu,29.55,82.16666667
Mustang,28.78333333,83.73055556
Myagdi,28.3417,83.5666
Nawalparasi,27.53333333,83.66666667
Nuwakot,27.91666667,85.25
Okhaldhunga,27.31666667,86.5
Palpa,27.86666667,83.55
Panchthar,27.2,87.83
Parbat,28.23333333,83.51666667
Parsa,27,84.86666667
Pyuthan,28.08333333,82.83333333
Ramechhap,27.33333333,86.08333333
Rasuwa,28.11666667,85.28333333
Rautahat,26.76666667,85.26666667
Rolpa,28.36666667,82.55
Rukum,28.6333,82.4667
Rupandehi,27.5,83.45
Salyan,28.36666667,82.16666667
Sankhuwasabha,27.36666667,87.21666667
Saptari,26.58333333,86.75
Sarlahi,26.855712,85.56236
Sindhuli,27.252,85.97
Sindhupalchowk,27.76666667,85.7
Siraha,26.65,86.2
Solukhumbu,27.5,86.58333333
Sunsari,26.602019,87.14755
Surkhet,28.6,81.63333333
Tanahun,27.91666667,84.25
Taplejung,27.35,87.66666667
Terhathum,27.25,87.58333333
Udayapur,26.91666667,86.66666667
Syangja,28.0969444,83.8219444
